Дата,Индекс,1 месяц,3 месяца,6 месяцев
10/6/21,2.26792030102212,6.63125614463921,6.33115283080247,5.63123969208253
10/5/21,2.26751960235266,6.62682664949440,6.31856601058395,5.61888060097542
10/4/21,2.26710779619681,6.61640225764477,6.30176839787440,5.60623554188526
10/3/21,2.26669559387635,6.60576045681654,6.28489564345402,5.59355161097616
10/2/21,2.26628339155590,6.58603107630030,6.26801816466438,5.58086463592377
10/1/21,2.26587118923545,6.57530861969550,6.25057609673538,5.56856480848875
9/30/21,2.26545037407007,6.56460715862215,6.23401795165027,5.55031270067253
9/29/21,2.26503584148319,6.55772207813324,6.22010964317119,5.53785631384787
9/28/21,2.26461704244110,6.54860400508360,6.20587070325866,5.52422207879671
9/27/21,2.26420204212160,6.54146906759862,6.19194554296111,5.51092668088365
9/26/21,2.26379532537610,6.53895099717448,6.17949058104709,5.49837412710189
9/25/21,2.26338860863060,6.53736765768943,6.16703191335373,5.48637420801758
9/24/21,2.26298189188510,6.53380021010446,6.15091856284871,5.47364248139338
9/23/21,2.26257834708949,6.53023276837418,6.13524727929904,5.46085569499163
9/22/21,2.26216991695928,6.52594259001941,6.11968699627711,5.44773473548451
9/21/21,2.26175784327003,6.51974363698471,6.10335487460153,5.43371611707587
9/20/21,2.26133965032099,6.51033873683226,6.08777865483222,5.41914285993831
9/19/21,2.26092540242222,6.50295922761711,6.07290073794703,5.40492185950313
9/18/21,2.26051115452344,6.49618862635434,6.05801846773909,5.39052755607670
9/17/21,2.26009690662467,6.49651292733920,6.04323355627500,5.37618324169468
9/16/21,2.25968211566097,6.49002690769216,6.02844919154727,5.36183994105236
9/15/21,2.25927049514610,6.48152258418154,6.01421698514879,5.34777666378623
9/14/21,2.25885771210666,6.47240599181739,5.99797496297110,5.33365332265613
9/13/21,2.25844747904402,6.46462291178895,5.98218302041892,5.31975676036323
9/12/21,2.25803376095326,6.45270359451204,5.96576504792873,5.30554269539331
9/11/21,2.25762004286250,6.43815034269371,5.94934239743892,5.29115541195303
9/10/21,2.25720632477174,6.42388179897193,5.93114200786211,5.27665073147830
9/9/21,2.25680380990044,6.41447759849803,5.91448656445184,5.26460148802956
9/8/21,2.25640569338906,6.40079343038180,5.89562584604016,5.25120672576518
9/7/21,2.25601382687776,6.39038434379260,5.87400866605806,5.23837306892017
9/6/21,2.25562635352882,6.38227745051975,5.85723155919309,5.22593310342812
9/5/21,2.25523599305430,6.36386483127138,5.83993470944683,5.21322975989440
9/4/21,2.25484563257979,6.34898398069607,5.82263335778441,5.20068840930587
9/3/21,2.25445527210528,6.32596124050881,5.80521041329841,5.18808596750411
9/2/21,2.25408165035228,6.33050088104347,5.79142693286041,5.17671093217708
9/1/21,2.25369142213891,6.34468710826073,5.77433612874894,5.16410997475069
8/31/21,2.25329138575042,6.35372583635363,5.75636406048826,5.15128150512524
8/30/21,2.25288956900812,6.36183242529926,5.73937016870485,5.14293953892733
8/29/21,2.25249043343852,6.38525394049096,5.72285070607868,5.13475073172015
8/28/21,2.25209129786893,6.38983093970718,5.70632674472930,5.12647144045632
8/27/21,2.25169216229934,6.38237264223957,5.68934986353421,5.11349746146146
8/26/21,2.25129248078495,6.37491439380809,5.67193276391649,5.10047037150817
8/25/21,2.25089102049609,6.35021119477174,5.65407551263733,5.08716093346523
8/24/21,2.25049333057876,6.32748340798715,5.63555767302289,5.07362580088959
8/23/21,2.25009879270826,6.30640668048794,5.61812883593596,5.06036700992030
8/22/21,2.24970076738032,6.28183771897458,5.60007169523364,5.04678483969799
8/21/21,2.24930274205237,6.25917768188907,5.58200978546548,5.03319964824307
8/20/21,2.24890471672442,6.23939915762445,5.56382588372793,5.01961143454835
8/19/21,2.24850676182904,6.21735133505828,5.54674480869919,5.00579765882783
8/18/21,2.24810764573194,6.19232799125479,5.53010525124142,4.99204142397231
8/17/21,2.24769505513278,6.16020148633955,5.51104229080607,4.97675782808565
8/16/21,2.24729485193996,6.13458884613264,5.49416893808117,4.96209790121034
8/15/21,2.24690162793997,6.10904919279835,5.47854033560198,4.94824400273936
8/14/21,2.24650840393997,6.08347384281086,5.46290747700299,4.93471931153948
8/13/21,2.24611517993998,6.05624183285567,5.44583065404772,4.92119165634945
8/12/21,2.24572633088762,6.02965876479608,5.42853418623365,4.90806345091858
8/11/21,2.24534246959966,6.00496797130661,5.40683186084173,4.89550188722751
8/10/21,2.24495805897313,5.97998018851596,5.38456372719495,4.88328057184809
8/9/21,2.24457555869984,5.95599207065698,5.36263266132945,4.87162573816221
8/8/21,2.24420554055365,5.93628272249710,5.34293286746793,4.85613569743367
8/7/21,2.24383552240747,5.91492076640068,5.32322850757576,4.84318253145315
8/6/21,2.24346550426129,5.89060968821004,5.30428513173299,4.83022671832991
8/5/21,2.24311213728076,5.87634737653470,5.29084908489154,4.81880098062319
8/4/21,2.24275206804463,5.85199061950359,5.27818442019126,4.80828086569541
8/3/21,2.24240741309703,5.83576072863182,5.26968361537145,4.79917514631467
8/2/21,2.24202718985579,5.80075528093024,5.25480318609490,4.78735538740660
8/1/21,2.24161218471882,5.74573772624418,5.23368161413024,4.77306245444802
7/31/21,2.24119717958186,5.69781226363263,5.21255444060889,4.75988827361027
7/30/21,2.24078217444489,5.66135749132254,5.19458747828648,4.74671089526167
7/29/21,2.24034085798547,5.60209462823292,5.16887917374126,4.73110642097357
7/28/21,2.23993521492326,5.56359176325980,5.14929282230406,4.71787733062362
7/27/21,2.23955234350892,5.53641885882914,5.13104259883402,4.70662755747736
7/26/21,2.23916892417259,5.50893880581029,5.11501873664824,4.69588715648800
7/25/21,2.23881634501304,5.49828616167372,5.10000510310982,4.68753150715077
7/24/21,2.23846376585349,5.47655532887098,5.08498785028060,4.67916543293150
7/23/21,2.23811118669394,5.45445978155085,5.06996697685333,4.67079740150800
7/22/21,2.23776172801313,5.43705145940642,5.05505790010085,4.66271511830267
7/21/21,2.23740864653905,5.41730002309662,5.03937059261509,4.65474619929187
7/20/21,2.23705010563171,5.40017477415699,5.02290515920930,4.64604291487732
7/19/21,2.23669591104634,5.38541919272863,5.00610661586886,4.63767905627204
7/18/21,2.23634617015345,5.37309299091595,4.99209764059273,4.62972118551983
7/17/21,2.23599642926055,5.36107177855750,4.97808524984401,4.62147044419241
7/16/21,2.23564668836766,5.34935553722118,4.96406944237906,4.61321778168323
7/15/21,2.23530373765723,5.34132159598448,4.95150010625784,4.60558976261122
7/14/21,2.23496083955582,5.32785741772499,4.93881992959063,4.59790552387188
7/13/21,2.23462105471051,5.31609186075124,4.92736362081757,4.59044755979255
7/12/21,2.23428438172148,5.30602488535756,4.91579639628108,4.58298985516955
7/11/21,2.23394908401963,5.29670731947659,4.90412461300392,4.57616316266405
7/10/21,2.23361378631778,5.28200654917381,4.89244999686320,4.56930106309050
7/9/21,2.23327848861593,5.26593949942772,4.88077254682928,4.56243735984869
7/8/21,2.23294752296937,5.24317810126041,4.87009630770004,4.55597211909276
7/7/21,2.23261966430086,5.21037547590102,4.85908671054832,4.54979233103096
7/6/21,2.23229735725777,5.19292905577811,4.84629809986345,4.54412391252347
7/5/21,2.23197265109949,5.17416475631595,4.83451072122895,4.53823253191932
7/4/21,2.23166030611323,5.16216328594728,4.82639740859738,4.53348186583242
7/3/21,2.23134796112697,5.14980329848607,4.81828214900428,4.52873008873906
7/2/21,2.23103561614071,5.13942767968335,4.81016494174713,4.52397720024933
7/1/21,2.23072637023842,5.12972152476938,4.80338219627804,4.51950963570374
6/30/21,2.23040372553511,5.11127200666514,4.79132075050287,4.51299248808851
6/29/21,2.23007257503219,5.09667310778171,4.78065152555912,4.50614234931204
6/28/21,2.22973903050872,5.08080060942851,4.76799160161602,4.49929163187195
6/27/21,2.22940746662489,5.06465670394037,4.75568538232869,4.49233305619556
6/26/21,2.22907590274105,5.04751510431670,4.74337625674877,4.48537266301588
6/25/21,2.22874433885722,5.03002367606280,4.73215841445112,4.47841045170239
6/24/21,2.22843296877117,5.01933453140114,4.72314031952983,4.47335786202464
6/23/21,2.22812225254472,5.01054772104613,4.71357255307465,4.46836141730084
6/22/21,2.22780608718769,4.99886643945776,4.70323523818405,4.46330756275623
6/21/21,2.22749057687858,4.98752978830778,4.69189814351476,4.45825383640609
6/20/21,2.22716483492531,4.97041369770451,4.67871435493078,4.45224844451804
6/19/21,2.22683909297203,4.95651151228612,4.66552757561174,4.44624145555166
6/18/21,2.22651335101876,4.94452753760247,4.65200276720430,4.44023286893898
6/17/21,2.22618704688997,4.93221979982479,4.63847841820260,4.43439216688482
6/16/21,2.22586018084698,4.91954448418832,4.62495452859113,4.42855130778916
6/15/21,2.22553336279699,4.90689121370101,4.61143109464818,4.42231836859267
6/14/21,2.22521648108885,4.89951394974862,4.59979119513714,4.41654842036193
